timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,IdleTime,Connect
1711791353402,487,HTTP Request,200,OK,Thread Group 1-5,text,true,,27999,185,53,53,https://api.github.com/users,1.json,434,0,124
1711791353409,491,HTTP Request,200,OK,Thread Group 1-6,text,true,,27999,185,53,53,https://api.github.com/users,2.json,437,0,118
1711791353360,543,HTTP Request,200,OK,Thread Group 1-1,text,true,,27999,185,53,53,https://api.github.com/users,3.json,479,0,151
1711791353420,515,HTTP Request,200,OK,Thread Group 1-7,text,true,,27999,185,55,55,https://api.github.com/users,4.json,454,0,136
1711791353440,518,HTTP Request,200,OK,Thread Group 1-9,text,true,,27999,185,56,56,https://api.github.com/users,5.json,454,0,130
1711791353470,501,HTTP Request,200,OK,Thread Group 1-12,text,true,,27999,185,57,57,https://api.github.com/users,6.json,437,0,119
1711791353503,470,HTTP Request,200,OK,Thread Group 1-15,text,true,,27997,185,56,56,https://api.github.com/users,7.json,417,0,104
1711791353461,517,HTTP Request,200,OK,Thread Group 1-11,text,true,,27999,185,55,55,https://api.github.com/users,8.json,452,0,125
1711791353494,492,HTTP Request,200,OK,Thread Group 1-14,text,true,,27996,185,55,55,https://api.github.com/users,9.json,427,0,109
1711791353386,623,HTTP Request,200,OK,Thread Group 1-3,text,true,,27999,185,56,56,https://api.github.com/users,10.json,432,0,113
1711791353370,646,HTTP Request,200,OK,Thread Group 1-2,text,true,,27996,185,56,56,https://api.github.com/users,11.json,448,0,123
1711791353511,518,HTTP Request,200,OK,Thread Group 1-16,text,true,,27999,185,57,57,https://api.github.com/users,12.json,452,0,125
1711791353522,515,HTTP Request,200,OK,Thread Group 1-17,text,true,,27999,185,56,56,https://api.github.com/users,13.json,460,0,114
1711791353551,489,HTTP Request,200,OK,Thread Group 1-20,text,true,,27999,185,56,56,https://api.github.com/users,14.json,435,0,113
1711791353540,506,HTTP Request,200,OK,Thread Group 1-19,text,true,,27996,185,55,55,https://api.github.com/users,15.json,453,0,115
